company_name,labeled_location,address,latitude,longitude,computed_county,labeled_county,address_city,address_state
Enchem America Inc.,"Cumming, Forsyth County","648 Highway 334, Commerce, GA 30530",34.1720636,-83.4364623,Jackson,Forsyth,Commerce,GA
Enplas USA Inc.,"Covington, Newton County","1901 West Oak Circle, Marietta, GA 30062",33.9867797,-84.522309,Cobb,Newton,Marietta,GA
Erdrich USA Inc.,"Greensboro, Greene County","112 Willie Paulk Parkway, Dublin, GA 31021",32.5001482,-82.9817196,Laurens,Greene,Dublin,GA
F&P Georgia Manufacturing,"Toccoa, Stephens County","88 Enterprise Drive SE, Rome, GA 30161",34.1708696,-85.1938687,Floyd,Stephens,Rome,GA
FOX Factory,"Covington, Newton County","2055 Sugarloaf Circle, Suite 300, Duluth, GA 30097",33.9864549,-84.0897605,Gwinnett,Newton,Duluth,GA
FREYR Battery,"Marietta, Cobb County","601 10th St NW, Suite 400, Atlanta, GA 30318",33.7817149,-84.4078083,Fulton,Cobb,Atlanta,GA
Fanello Industries Inc.,"Cumming, Forsyth County","50 E Main Street, Lavonia, GA 30553",34.4200267,-83.0970583,Franklin,Forsyth,Lavonia,GA
First American Resources,"Albany, Dougherty County","2030 Riverview Industrial Dr SE, Mableton, GA 30126",33.8131088,-84.4933732,Cobb,Dougherty,Mableton,GA
Flambeau Inc.,Carroll County,"1330 Atlanta Highway, Madison, GA 30650",33.5804884,-83.4853334,Morgan,Carroll,Madison,GA
Fouts Brothers Fire Equipment,"Statesboro, Bulloch County","138 Roberson Mill Rd, Milledgeville, GA 31061",33.1040128,-83.2566807,Baldwin,Bulloch,Milledgeville,GA
Freudenberg-NOK,"Carnesville, Franklin County","1618 Lukken Industrial Dr, LaGrange, GA 30240",33.0137815,-85.063217,Troup,Franklin,Lagrange,GA
Freudenberg-NOK,"Warrenton, Warren County","1618 Lukken Industrial Dr, LaGrange, GA 30240",33.0137815,-85.063217,Troup,Warren,Lagrange,GA
GEDIA Georgia LLC,"Jonesboro, Clayton County","1 GEDIA Way, Dalton, GA 30721",33.7822022,-84.4078083,Fulton,Clayton,Dalton,GA
GLOVIS Georgia LLC,"Dublin, Laurens County","127 N Park Ct, Savannah, GA 31407",32.231682,-81.1991214,Chatham,Laurens,Savannah,GA
